OBJECTID,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,Longitude,Latitude,Kommentar,Stadtteil,typ,involved,art
,2026,4,21,5,Unfall mit Getöteten,,,,1.0,,,,,,8.473205977005195,49.51590797883158,"09.04.2026, Luzenberg: 44-jähriger Radfahrer missachtet an der Industriestraße/Diffenéstraße bei Dunkelheit mehrfach Rotlicht, wird von einem Nissan erfasst und verstirbt am Folgetag im Krankenhaus.",Luzenberg,Unbekannt,Fahrrad,Unbekannt
,2025,12,18,7,Unfall mit Leichtverletzten,6.0,7.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,8.471186339000042,49.49191240800008,,,sonstiger Unfall,"Pkw, Fußgänger",Zusammenstoß zwischen Fahrzeug und Fußgänger
,2025,12,16,6,Unfall mit Leichtverletzten,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,8.478511755000056,49.460277963000074,,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Unfall anderer Art
,2025,12,11,6,Unfall mit Leichtverletzten,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.466109729000038,49.48764903600005,,,sonstiger Unfall,Fahrrad,Unfall anderer Art
,2025,12,10,6,Unfall mit Leichtverletzten,0.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.53846373600004,49.48625139800004,,,sonstiger Unfall,"Fahrrad, Fußgänger",Unfall anderer Art
,2025,12,7,6,Unfall mit Leichtverletzten,5.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,8.486389235000047,49.47430917700007,,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,12,16,5,Unfall mit Leichtverletzten,6.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,8.510383524000076,49.446640399000046,,,Überschreiten-Unfall,"Pkw, Fußgänger",Zusammenstoß zwischen Fahrzeug und Fußgänger
,2025,12,11,5,Unfall mit Leichtverletzten,6.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.47776836600002,49.54446019900007,,,sonstiger Unfall,"Pkw, Fußgänger",Zusammenstoß zwischen Fahrzeug und Fußgänger
,2025,12,0,5,Unfall mit Leichtverletzten,5.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,8.487207527000066,49.46492297700007,,,Unfall durch ruhenden Verkehr,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,12,12,4,Unfall mit Schwerverletzten,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.46685692400007,49.47197258800002,,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,12,7,4,Unfall mit Leichtverletzten,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8.461715049000077,49.50450117300005,,,sonstiger Unfall,Fahrrad,Unfall anderer Art
,2025,12,7,4,Unfall mit Leichtverletzten,6.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,8.528843134000056,49.43133378600004,,,Überschreiten-Unfall,"Pkw, Fußgänger",Zusammenstoß zwischen Fahrzeug und Fußgänger
,2025,12,7,4,Unfall mit Leichtverletzten,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.485436289000063,49.459238308000074,,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,12,21,3,Unfall mit Leichtverletzten,7.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,8.49938736200005,49.52800508200005,,,Unfall durch ruhenden Verkehr,"Fahrrad, Pkw",Aufprall auf Fahrbahnhindernis
,2025,12,20,3,Unfall mit Leichtverletzten,6.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,8.563552755000046,49.466774026000046,,,Überschreiten-Unfall,"Fußgänger, Tram/Bus (bis 2017 auch LKW)",Zusammenstoß zwischen Fahrzeug und Fußgänger
,2025,12,17,3,Unfall mit Leichtverletzten,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,8.483917560000066,49.49876822700002,,,Abbiegeunfall,"Fahrrad, Pkw",Zusammenstoß mit entgegenkommendem Fahrzeug
,2025,12,14,3,Unfall mit Leichtverletzten,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.531692724000038,49.48956295200002,,,Einbiegen / Kreuzen-Unfall,Fahrrad,Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,12,13,3,Unfall mit Leichtverletzten,3.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.532681016000026,49.51631354500007,,,Unfall im Längsverkehr,"Fahrrad, Tram/Bus (bis 2017 auch LKW)",Zusammenstoß mit seitlich in gleicher Richtung fahrendem Fahrzeug
,2025,12,12,3,Unfall mit Leichtverletzten,6.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.523665397000059,49.43869924000006,,,Überschreiten-Unfall,"Pkw, Fußgänger",Zusammenstoß zwischen Fahrzeug und Fußgänger
,2025,12,11,3,Unfall mit Leichtverletzten,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.531104807000077,49.42846897700008,,,Abbiegeunfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,12,10,3,Unfall mit Leichtverletzten,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.478522670000075,49.46028034900007,,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,12,8,3,Unfall mit Leichtverletzten,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.51837209000007,49.51030997700008,,,Abbiegeunfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,12,7,3,Unfall mit Schwerverletzten,4.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8.49451311000007,49.50973558000004,,,Unfall im Längsverkehr,Fahrrad,Zusammenstoß mit entgegenkommendem Fahrzeug
