strasse,strassentyp,stadtbezirke,laenge_km
Akazienstraße,Sammelstrasse,"Neckarstadt-Ost/Wohlgelegen, Waldhof",0.5
Alte Frankfurter Straße,Sammelstrasse,Waldhof,0.3
Alte Seilerei,Sammelstrasse,Neckarau,0.09
Alter Frankfurter Weg,Sammelstrasse,Sandhofen,0.78
Altrheinbrücke,Hauptverkehrsstrasse,"Neckarstadt-West, Sandhofen",0.52
Altriper Straße,Sammelstrasse,"Neckarau, Rheinau",0.47
Am Aubuckel,Hauptverkehrsstrasse,"Feudenheim, Käfertal",2.65
Am Herrschaftswald,Sammelstrasse,Waldhof,0.57
Am Messplatz,Hauptverkehrsstrasse,Neckarstadt-West,0.16
Am Straßenheimer Weg,Sammelstrasse,Wallstadt,0.92
Auf dem Sand,Sammelstrasse,Käfertal,1.62
Augustaanlage,Hauptverkehrsstrasse (B-Strasse),Schwetzingerstadt/Oststadt,2.36
BBC-Behelfsbrücke,Hauptverkehrsstrasse (B-Strasse),"Käfertal, Neckarstadt-Ost/Wohlgelegen",0.13
Banater Straße,Hauptverkehrsstrasse,Feudenheim,1.7
Birkenauer Straße,Sammelstrasse,Käfertal,1.53
Bismarckplatz,Hauptverkehrsstrasse (B-Strasse),"Innenstadt/Jungbusch, Schwetzingerstadt/Oststadt",0.18
Bismarckstraße,Hauptverkehrsstrasse (B-Strasse),"Innenstadt/Jungbusch, Schwetzingerstadt/Oststadt",2.64
Boveristraße,Hauptverkehrsstrasse,"Käfertal, Waldhof",1.51
Brandenburger Straße,Sammelstrasse,Vogelstang,0.05
Braunschweiger Allee,Sammelstrasse,"Sandhofen, Schönau",1.77
Brückenstraße,Hauptverkehrsstrasse,"Neckarstadt-Ost/Wohlgelegen, Neckarstadt-West, Seckenheim",0.54
Bunsenstraße,Sammelstrasse,Neckarstadt-West,0.63
Bürstadter Straße,Hauptverkehrsstrasse,Sandhofen,1.23
Cahn-Garnier-Ufer,Sammelstrasse,Schwetzingerstadt/Oststadt,0.67
Carl-Benz-Straße,Sammelstrasse,"Neckarstadt-Ost/Wohlgelegen, Neckarstadt-West",1.36
Carlo-Schmid-Brücke,Hauptverkehrsstrasse (B-Strasse),Neuostheim/Neuhermsheim,0.14
Casterfeldstraße,Hauptverkehrsstrasse (B-Strasse),"Neckarau, Rheinau",2.18
Cochemer Straße,Sammelstrasse,Käfertal,0.4
Collinistraße,Sammelstrasse,Schwetzingerstadt/Oststadt,0.59
Dalbergstraße,Hauptverkehrsstrasse (B-Strasse),Innenstadt/Jungbusch,0.23
Dammstraße,Sammelstrasse,"Neckarstadt-Ost/Wohlgelegen, Neckarstadt-West",1.03
Diffenéstraße,Hauptverkehrsstrasse,"Neckarstadt-West, Waldhof",4.34
Dudenstraße,Sammelstrasse,Neckarstadt-Ost/Wohlgelegen,2.13
Duisburger Straße,Sammelstrasse,Rheinau,1.25
Edinger Riedweg,Hauptverkehrsstrasse,Rheinau,0.88
Eisenstraße,Sammelstrasse,Waldhof,0.17
Essener Straße,Sammelstrasse,Rheinau,1.35
Fabrikstationstraße,Sammelstrasse,Neckarau,0.26
Fardelystraße,Sammelstrasse,Neckarstadt-West,0.22
Feudenheimer Straße,Hauptverkehrsstrasse,"Feudenheim, Neckarstadt-Ost/Wohlgelegen",4.0
Floßwörthstraße,Hauptverkehrsstrasse,Neckarau,1.27
Frankenthaler Straße,Hauptverkehrsstrasse (B-Strasse),"Sandhofen, Schönau, Waldhof",17.21
Fred-Joachim-Schoeps-Straße,Sammelstrasse,Friedrichsfeld,0.15
Freherstraße,Hauptverkehrsstrasse (B-Strasse),Innenstadt/Jungbusch,0.56
Friedrich-Ebert-Straße,Hauptverkehrsstrasse (B-Strasse),Neckarstadt-Ost/Wohlgelegen,5.12
Friedrichsfelder Landstraße,Hauptverkehrsstrasse,Friedrichsfeld,3.18
Friedrichsplatz,Hauptverkehrsstrasse (B-Strasse),Schwetzingerstadt/Oststadt,0.62
Friedrichsring,Hauptverkehrsstrasse (B-Strasse),"Innenstadt/Jungbusch, Schwetzingerstadt/Oststadt",2.2
Friedrichstraße,Sammelstrasse,Neckarau,0.35
Friesenheimer Straße,Sammelstrasse,Neckarstadt-West,1.72
Germaniastraße,Sammelstrasse,Neckarau,0.09
Goethestraße,Hauptverkehrsstrasse (B-Strasse),Schwetzingerstadt/Oststadt,0.53
Gorxheimer Straße,Sammelstrasse,Käfertal,0.59
Hafenbahnstraße,Hauptverkehrsstrasse,"Neckarstadt-West, Waldhof",2.55
Hanauer Platz,Sammelstrasse,Waldhof,0.11
Hanauer Straße,Sammelstrasse,Waldhof,0.36
Harrlachweg,Sammelstrasse,Neuostheim/Neuhermsheim,0.26
Hauptstraße,Sammelstrasse,Feudenheim,1.66
Havellandstraße,Hauptverkehrsstrasse,Vogelstang,0.43
Heddesheimer Landstraße,Hauptverkehrsstrasse,Wallstadt,0.66
Helmertstraße,Sammelstrasse,Rheinau,1.6
Helmholtzstraße,Sammelstrasse,Neckarstadt-West,0.64
Helmut-Kohl-Straße,Hauptverkehrsstrasse (B-Strasse),Lindenhof,2.87
Heppenheimer Straße,Sammelstrasse,Käfertal,1.12
Hermsheimer Straße,Sammelstrasse,Neuostheim/Neuhermsheim,1.79
Herzogenriedstraße,Sammelstrasse,"Neckarstadt-Ost/Wohlgelegen, Neckarstadt-West",2.37
Hinter dem Wolfsberg,Hauptverkehrsstrasse,Vogelstang,0.27
Hochuferstraße,Sammelstrasse,Neckarstadt-Ost/Wohlgelegen,1.41
Ilvesheimer Straße,Sammelstrasse,Feudenheim,0.72
Im Rott,Sammelstrasse,"Käfertal, Vogelstang",0.2
Industriestraße,Sammelstrasse,Neckarstadt-West,2.02
